sentence,source_file,begin,end,annotator,_annotation,text,_sentence_text,annotation,aspect_cat,results,sentence_split,iob
BHL_789_sample_German_20.0.txt_0-17,['BHL_789_sample_German_20.0.txt'],[8],[16],['Florian_Debaene'],"['w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=8, end=16, entitycategory=PERSON)']","['Mewes, W']","Author: Mewes, W.",['ASPECT'],['PERSON'],"(['Author', 'Mewes', ',', 'W', '.'], ['O', 'B-PERSON', 'I-PERSON', 'I-PERSON', 'O'])","['Author', 'Mewes', ',', 'W', '.']","['O', 'B-PERSON', 'I-PERSON', 'I-PERSON', 'O']"
BHL_789_sample_German_20.0.txt_10197-10324,['BHL_789_sample_German_20.0.txt'],[10235],[10248],['Florian_Debaene'],"['w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=10235, end=10248, entitycategory=FAUNA)']",['L. argentatus'],"Die Farbe glich übrigens sehr der bei L. argentatus , mit Ausnahme des Mantels , welcher eine blaugrüne Schiefer- farbe hatte .",['NULL_CAT'],['FAUNA'],"(['Die', 'Farbe', 'glich', 'übrigens', 'sehr', 'der', 'bei', 'L', '.', 'argentatus', ',', 'mit', 'Ausnahme', 'des', 'Mantels', ',', 'welcher', 'eine', 'blaugrüne', 'Schiefer', 'farbe', 'hatte', '.'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'I-FAUNA', 'I-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'])","['Die', 'Farbe', 'glich', 'übrigens', 'sehr', 'der', 'bei', 'L', '.', 'argentatus', ',', 'mit', 'Ausnahme', 'des', 'Mantels', ',', 'welcher', 'eine', 'blaugrüne', 'Schiefer', 'farbe', 'hatte', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'I-FAUNA', 'I-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
BHL_789_sample_German_20.0.txt_10445-10707,"['BHL_789_sample_German_20.0.txt', 'BHL_789_sample_German_20.0.txt', 'BHL_789_sample_German_20.0.txt', 'BHL_789_sample_German_20.0.txt', 'BHL_789_sample_German_20.0.txt', 'BHL_789_sample_German_20.0.txt', 'BHL_789_sample_German_20.0.txt']","[10472, 10485, 10500, 10516, 10553, 10589, 10633]","[10484, 10491, 10511, 10534, 10569, 10597, 10638]","['Florian_Debaene', 'Florian_Debaene', 'Florian_Debaene', 'Florian_Debaene', 'Florian_Debaene', 'Florian_Debaene', 'Florian_Debaene']","['w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=10472, end=10484, entitycategory=LOCATION)', 'w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=10485, end=10491, entitycategory=NAT_LANDFORM)', 'w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=10500, end=10511, entitycategory=LOCATION)', 'w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=10516, end=10534, entitycategory=PERSON)', 'w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=10553, end=10569, entitycategory=FAUNA)', 'w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=10589, end=10597, entitycategory=FAUNA)', 'w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=10633, end=10638, entitycategory=FAUNA)']","['Petersburger', 'Museum', 'Kamtschatka', 'Herrn von Kittlitz', 'Larus fuscescens', 'Exemplar', 'Vogel']","Ich hatte Gelegenheit , im Petersburger Museum ein von Kamtschatka vom Herrn von Kittlitz mitgebrachtes und Larus fuscescens , IJxchx . s\^mnQS Exemplar zu vergleichen ; dieses war meinem Vogel sehr ähnlich , war aber etwas kleiner und überdies im Winterkleide .","['ASPECT', 'ASPECT', 'ASPECT', 'ASPECT', 'NULL_CAT', 'NULL_CAT', 'ASPECT']","['LOCATION', 'NAT_LANDFORM', 'LOCATION', 'PERSON', 'FAUNA', 'FAUNA', 'FAUNA']","(['Ich', 'hatte', 'Gelegenheit', ',', 'im', 'Petersburger', 'Museum', 'ein', 'von', 'Kamtschatka', 'vom', 'Herrn', 'von', 'Kittlitz', 'mitgebrachtes', 'und', 'Larus', 'fuscescens', ',', 'IJxchx', '.', 's', 'mnQS', 'Exemplar', 'zu', 'vergleichen', ';', 'dieses', 'war', 'meinem', 'Vogel', 'sehr', 'ähnlich', ',', 'war', 'aber', 'etwas', 'kleiner', 'und', 'überdies', 'im', 'Winterkleide', '.'], ['O', 'O', 'O', 'O', 'O', 'B-LOCATION', 'B-NAT_LANDFORM', 'O', 'O', 'B-LOCATION', 'O', 'B-PERSON', 'I-PERSON', 'I-PERSON', 'O', 'O', 'B-FAUNA', 'I-FAUNA', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'])","['Ich', 'hatte', 'Gelegenheit', ',', 'im', 'Petersburger', 'Museum', 'ein', 'von', 'Kamtschatka', 'vom', 'Herrn', 'von', 'Kittlitz', 'mitgebrachtes', 'und', 'Larus', 'fuscescens', ',', 'IJxchx', '.', 's', 'mnQS', 'Exemplar', 'zu', 'vergleichen', ';', 'dieses', 'war', 'meinem', 'Vogel', 'sehr', 'ähnlich', ',', 'war', 'aber', 'etwas', 'kleiner', 'und', 'überdies', 'im', 'Winterkleide', '.']","['O', 'O', 'O', 'O', 'O', 'B-LOCATION', 'B-NAT_LANDFORM', 'O', 'O', 'B-LOCATION', 'O', 'B-PERSON', 'I-PERSON', 'I-PERSON', 'O', 'O', 'B-FAUNA', 'I-FAUNA', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
BHL_789_sample_German_20.0.txt_10708-10871,"['BHL_789_sample_German_20.0.txt', 'BHL_789_sample_German_20.0.txt', 'BHL_789_sample_German_20.0.txt', 'BHL_789_sample_German_20.0.txt', 'BHL_789_sample_German_20.0.txt']","[10708, 10735, 10745, 10775, 10844]","[10720, 10740, 10754, 10780, 10860]","['Florian_Debaene', 'Florian_Debaene', 'Florian_Debaene', 'Florian_Debaene', 'Florian_Debaene']","['w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=10708, end=10720, entitycategory=PERSON)', 'w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=10735, end=10740, entitycategory=NAT_LANDFORM)', 'w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=10745, end=10754, entitycategory=LOCATION)', 'w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=10775, end=10780, entitycategory=FAUNA)', 'w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=10844, end=10860, entitycategory=FAUNA)']","['Herr Iversen', 'Bucht', 'Archangel', 'MÖven', 'Larus cachinnans']","Herr Iversen hatte bei der Bucht von Archangel zwei grössere junge MÖven ( im zweiten .lahre ) geschossen , auf deren Rücken einige * ) Larus cachinnans , Pallas .","['ASPECT', 'ASPECT', 'ASPECT', 'NULL_CAT', 'NULL_CAT']","['PERSON', 'NAT_LANDFORM', 'LOCATION', 'FAUNA', 'FAUNA']","(['Herr', 'Iversen', 'hatte', 'bei', 'der', 'Bucht', 'von', 'Archangel', 'zwei', 'grössere', 'junge', 'MÖven', 'im', 'zweiten', '.', 'lahre', 'geschossen', ',', 'auf', 'deren', 'Rücken', 'einige', 'Larus', 'cachinnans', ',', 'Pallas', '.'], ['B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'B-NAT_LANDFORM', 'O', 'B-LOCATION', 'O', 'O', 'O', 'B-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'I-FAUNA', 'O', 'O', 'O'])","['Herr', 'Iversen', 'hatte', 'bei', 'der', 'Bucht', 'von', 'Archangel', 'zwei', 'grössere', 'junge', 'MÖven', 'im', 'zweiten', '.', 'lahre', 'geschossen', ',', 'auf', 'deren', 'Rücken', 'einige', 'Larus', 'cachinnans', ',', 'Pallas', '.']","['B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'B-NAT_LANDFORM', 'O', 'B-LOCATION', 'O', 'O', 'O', 'B-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'I-FAUNA', 'O', 'O', 'O']"
BHL_789_sample_German_20.0.txt_10872-10927,['BHL_789_sample_German_20.0.txt'],[10872],[10877],['Florian_Debaene'],"['w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=10872, end=10877, entitycategory=PERSON)']",['Mewes'],Mewes . * * ) Nach brieflicher Mittheilung von Herrn H.,['ASPECT'],['PERSON'],"(['Mewes', '.', 'Nach', 'brieflicher', 'Mittheilung', 'von', 'Herrn', 'H', '.'], ['B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'])","['Mewes', '.', 'Nach', 'brieflicher', 'Mittheilung', 'von', 'Herrn', 'H', '.']","['B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
BHL_789_sample_German_20.0.txt_10928-10989,['BHL_789_sample_German_20.0.txt'],[10953],[10963],['Florian_Debaene'],"['w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=10953, end=10963, entitycategory=PERSON)']",['L. affinis'],"Seebohm soll die Art mit L. affinis , Reinhardt gleich sein .",['NULL_CAT'],['PERSON'],"(['Seebohm', 'soll', 'die', 'Art', 'mit', 'L', '.', 'affinis', ',', 'Reinhardt', 'gleich', 'sein', '.'], ['O', 'O', 'O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O'])","['Seebohm', 'soll', 'die', 'Art', 'mit', 'L', '.', 'affinis', ',', 'Reinhardt', 'gleich', 'sein', '.']","['O', 'O', 'O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O']"
BHL_789_sample_German_20.0.txt_10990-11015,['BHL_789_sample_German_20.0.txt'],[10990],[10995],['Florian_Debaene'],"['w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=10990, end=10995, entitycategory=PERSON)']",['Mewes'],Mewes in litteris . 96 W.,['ASPECT'],['PERSON'],"(['Mewes', 'in', 'litteris', '.', '96', 'W', '.'], ['B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O'])","['Mewes', 'in', 'litteris', '.', '96', 'W', '.']","['B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O']"
BHL_789_sample_German_20.0.txt_11016-11028,['BHL_789_sample_German_20.0.txt'],[11016],[11021],['Florian_Debaene'],"['w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=11016, end=11021, entitycategory=PERSON)']",['Mewes'],Mewes und E.,['ASPECT'],['PERSON'],"(['Mewes', 'und', 'E', '.'], ['B-PERSON', 'O', 'O', 'O'])","['Mewes', 'und', 'E', '.']","['B-PERSON', 'O', 'O', 'O']"
BHL_789_sample_German_20.0.txt_11029-11195,"['BHL_789_sample_German_20.0.txt', 'BHL_789_sample_German_20.0.txt', 'BHL_789_sample_German_20.0.txt']","[11029, 11116, 11164]","[11043, 11129, 11177]","['Florian_Debaene', 'Florian_Debaene', 'Florian_Debaene']","['w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=11029, end=11043, entitycategory=PERSON)', 'w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=11116, end=11129, entitycategory=PERSON)', 'w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=11164, end=11177, entitycategory=FAUNA)']","['F. von Homeyer', 'L. argentatus', 'L. cachinnans']","F. von Homeyer . schiefergraue Federn hervorgewachsen waren ; ich hielt sie damals für L. argentatus , glaube aber jetzt , dass sie zu L. cachinnans zu rechnen sind .","['ASPECT', 'NULL_CAT', 'NULL_CAT']","['PERSON', 'PERSON', 'FAUNA']","(['F', '.', 'von', 'Homeyer', '.', 'schiefergraue', 'Federn', 'hervorgewachsen', 'waren', ';', 'ich', 'hielt', 'sie', 'damals', 'für', 'L', '.', 'argentatus', ',', 'glaube', 'aber', 'jetzt', ',', 'dass', 'sie', 'zu', 'L', '.', 'cachinnans', 'zu', 'rechnen', 'sind', '.'], ['B-PERSON', 'I-PERSON', 'I-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'I-FAUNA', 'I-FAUNA', 'O', 'O', 'O', 'O'])","['F', '.', 'von', 'Homeyer', '.', 'schiefergraue', 'Federn', 'hervorgewachsen', 'waren', ';', 'ich', 'hielt', 'sie', 'damals', 'für', 'L', '.', 'argentatus', ',', 'glaube', 'aber', 'jetzt', ',', 'dass', 'sie', 'zu', 'L', '.', 'cachinnans', 'zu', 'rechnen', 'sind', '.']","['B-PERSON', 'I-PERSON', 'I-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'I-FAUNA', 'I-FAUNA', 'O', 'O', 'O', 'O']"
BHL_789_sample_German_20.0.txt_11196-11446,"['BHL_789_sample_German_20.0.txt', 'BHL_789_sample_German_20.0.txt', 'BHL_789_sample_German_20.0.txt', 'BHL_789_sample_German_20.0.txt', 'BHL_789_sample_German_20.0.txt', 'BHL_789_sample_German_20.0.txt', 'BHL_789_sample_German_20.0.txt']","[11241, 11266, 11276, 11305, 11309, 11357, 11408]","[11245, 11271, 11287, 11327, 11327, 11362, 11422]","['Florian_Debaene', 'Florian_Debaene', 'Florian_Debaene', 'Florian_Debaene', 'Florian_Debaene', 'Florian_Debaene', 'Florian_Debaene']","['w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=11241, end=11245, entitycategory=FAUNA)', 'w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=11266, end=11271, entitycategory=NAT_LANDFORM)', 'w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=11276, end=11287, entitycategory=LOCATION)', 'w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=11305, end=11327, entitycategory=LOCATION)', 'w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=11309, end=11327, entitycategory=HUM_LANDFORM)', 'w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=11357, end=11362, entitycategory=FAUNA)', 'w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=11408, end=11422, entitycategory=LOCATION)']","['MÖve', 'Bucht', 'Ar- changel', 'bei Kloster Solavetsky', 'Kloster Solavetsky', 'MÖven', 'diese Gegenden']","Es ist nicht unwahrschein- lich , dass diese MÖve allgemeiner bei der Bucht von Ar- changel , oder besonders bei Kloster Solavetsky vorkommt , wo viele grössere MÖven nisten sollen ; die Zeit reichte nicht hin , diese Gegenden zu besuchen * ) . 189 .","['NULL_CAT', 'ASPECT', 'ASPECT', 'ASPECT', 'ASPECT', 'NULL_CAT', 'NULL_CAT']","['FAUNA', 'NAT_LANDFORM', 'LOCATION', 'LOCATION', 'HUM_LANDFORM', 'FAUNA', 'LOCATION']","(['Es', 'ist', 'nicht', 'unwahrschein', 'lich', ',', 'dass', 'diese', 'MÖve', 'allgemeiner', 'bei', 'der', 'Bucht', 'von', 'Ar', 'changel', ',', 'oder', 'besonders', 'bei', 'Kloster', 'Solavetsky', 'vorkommt', ',', 'wo', 'viele', 'grössere', 'MÖven', 'nisten', 'sollen', ';', 'die', 'Zeit', 'reichte', 'nicht', 'hin', ',', 'diese', 'Gegenden', 'zu', 'besuchen', '.', '189', '.'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'O', 'O', 'O', 'B-NAT_LANDFORM', 'O', 'B-LOCATION', 'I-LOCATION', 'O', 'O', 'O', 'B-LOCATION', 'B-HUM_LANDFORM', 'I-HUM_LANDFORM', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOCATION', 'I-LOCATION', 'O', 'O', 'O', 'O', 'O'])","['Es', 'ist', 'nicht', 'unwahrschein', 'lich', ',', 'dass', 'diese', 'MÖve', 'allgemeiner', 'bei', 'der', 'Bucht', 'von', 'Ar', 'changel', ',', 'oder', 'besonders', 'bei', 'Kloster', 'Solavetsky', 'vorkommt', ',', 'wo', 'viele', 'grössere', 'MÖven', 'nisten', 'sollen', ';', 'die', 'Zeit', 'reichte', 'nicht', 'hin', ',', 'diese', 'Gegenden', 'zu', 'besuchen', '.', '189', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'O', 'O', 'O', 'B-NAT_LANDFORM', 'O', 'B-LOCATION', 'I-LOCATION', 'O', 'O', 'O', 'B-LOCATION', 'B-HUM_LANDFORM', 'I-HUM_LANDFORM', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOCATION', 'I-LOCATION', 'O', 'O', 'O', 'O', 'O']"
